8,"8,16 tỷ","Văn Giang, Hưng Yên"
9,"1,9 tỷ","Quận 7, Hồ Chí Minh"
10,"2,7 tỷ","Quận 9, Hồ Chí Minh"
11,"2,6 tỷ","Dĩ An, Bình Dương"
12,"3,1 tỷ","Gia Lâm, Hà Nội"
13,108 tỷ,"Tây Hồ, Hà Nội"
14,"11,02 tỷ","Tây Hồ, Hà Nội"
15,"22,33 tỷ","Văn Giang, Hưng Yên"
16,"5,2 tỷ","Gia Lâm, Hà Nội"
17,"2,2 tỷ","Sơn Trà, Đà Nẵng"
18,"4,7 tỷ","Nam Từ Liêm, Hà Nội"
19,"3,2 tỷ","Nam Từ Liêm, Hà Nội"
,Price,Location
0,"3,05 tỷ","Văn Giang, Hưng Yên"
1,46 tỷ,"Quốc Oai, Hà Nội"
2,"9,8 tỷ","Bình Thạnh, Hồ Chí Minh"
3,"21,57 tỷ","Tây Hồ, Hà Nội"
4,"4,3 tỷ","Nam Từ Liêm, Hà Nội"
5,"1,82 tỷ","Gia Lâm, Hà Nội"
6,"4,5 tỷ","Tân Phú, Hồ Chí Minh"
7,"5,9 tỷ","Bắc Từ Liêm, Hà Nội"
8,Giá thỏa thuận,"Gia Lâm, Hà Nội"
9,"2,8 tỷ","Sơn Trà, Đà Nẵng"
10,"3,72 tỷ","Gia Lâm, Hà Nội"
11,7 tỷ,"Văn Giang, Hưng Yên"
12,Giá thỏa thuận,"Hoài Đức, Hà Nội"
13,Giá thỏa thuận,"Tây Hồ, Hà Nội"
14,Giá thỏa thuận,"Văn Giang, Hưng Yên"
15,"14,5 tỷ","Quận 2, Hồ Chí Minh"
16,"2,5 tỷ","Gia Lâm, Hà Nội"
17,"21,66 tỷ","Văn Giang, Hưng Yên"
18,"7,5 tỷ","Văn Giang, Hưng Yên"
19,"7,5 tỷ","Văn Giang, Hưng Yên"
,Price,Location
0,7 tỷ,"Văn Giang, Hưng Yên"
1,"3,05 tỷ","Quận 9, Hồ Chí Minh"
2,"15,2 tỷ","Sơn Trà, Đà Nẵng"
3,61 tỷ,"Gia Lâm, Hà Nội"
4,"6,36 tỷ","Long Biên, Hà Nội"
5,"5,15 tỷ","Nam Từ Liêm, Hà Nội"
6,"3,3 tỷ","Nam Từ Liêm, Hà Nội"
7,"12,4 tỷ","Đống Đa, Hà Nội"
8,"1,5 tỷ","Quận 7, Hồ Chí Minh"
9,"4,9 tỷ","Nam Từ Liêm, Hà Nội"
10,"9,36 tỷ","Văn Giang, Hưng Yên"
11,Giá thỏa thuận,"Nam Từ Liêm, Hà Nội"
12,"15,34 tỷ","Sơn Trà, Đà Nẵng"
13,Giá thỏa thuận,"Nam Từ Liêm, Hà Nội"
14,"2,26 tỷ","Thuận An, Bình Dương"
15,Giá thỏa thuận,"Quận 9, Hồ Chí Minh"
16,"5,9 tỷ","Cẩm Lệ, Đà Nẵng"
17,"2,7 tỷ","Thủ Dầu Một, Bình Dương"
18,Giá thỏa thuận,"Nam Từ Liêm, Hà Nội"
19,"2,44 tỷ","Quận 9, Hồ Chí Minh"
,Price,Location
0,"2,44 tỷ","Quận 9, Hồ Chí Minh"
1,"2,9 tỷ","Quận 9, Hồ Chí Minh"
2,Giá thỏa thuận,"Tây Hồ, Hà Nội"
3,"4,5 tỷ","Nam Từ Liêm, Hà Nội"
4,25 tỷ,"Gia Lâm, Hà Nội"
5,"3,6 tỷ","Bình Tân, Hồ Chí Minh"
6,"4,5 tỷ","Tân Phú, Hồ Chí Minh"
7,"2,6 tỷ","Quận 9, Hồ Chí Minh"
8,8 tỷ,"Phan Thiết, Bình Thuận"
9,"3,2 tỷ","Gia Lâm, Hà Nội"
10,"3,85 tỷ","Thủ Đức, Hồ Chí Minh"
11,52 tỷ,"Quận 2, Hồ Chí Minh"
12,"6,9 tỷ","Nam Từ Liêm, Hà Nội"
13,"6,99 tỷ","Gò Vấp, Hồ Chí Minh"
14,"44,34 tỷ","Văn Giang, Hưng Yên"
15,"1,38 tỷ","Củ Chi, Hồ Chí Minh"
16,"6,4 tỷ","Thủ Đức, Hồ Chí Minh"
17,"8,77 tỷ","Văn Giang, Hưng Yên"
18,15 tỷ,"Hà Đông, Hà Nội"
19,"6,3 tỷ","Bình Thạnh, Hồ Chí Minh"
,Price,Location
0,18 tỷ,"Văn Giang, Hưng Yên"
1,"2,65 tỷ","Quận 7, Hồ Chí Minh"
2,"2,8 tỷ","Quận 7, Hồ Chí Minh"
3,"2,3 tỷ","Quận 7, Hồ Chí Minh"
4,"4,27 tỷ","Nam Từ Liêm, Hà Nội"
5,"12,5 tỷ","Thanh Xuân, Hà Nội"
6,"4,5 tỷ","Tân Phú, Hồ Chí Minh"
7,Giá thỏa thuận,"Quận 7, Hồ Chí Minh"
8,24 tỷ,"Gia Lâm, Hà Nội"
9,"3,45 tỷ","Gia Lâm, Hà Nội"
10,Giá thỏa thuận,"Gia Lâm, Hà Nội"
11,3 tỷ,"Nam Từ Liêm, Hà Nội"
12,"3,02 tỷ","Đồng Hới, Quảng Bình"
13,"16,9 tỷ","Văn Giang, Hưng Yên"
14,"6,28 tỷ","Bắc Từ Liêm, Hà Nội"
15,Giá thỏa thuận,"Thanh Xuân, Hà Nội"
16,Giá thỏa thuận,"Ngũ Hành Sơn, Đà Nẵng"
17,"3,45 tỷ","Gò Vấp, Hồ Chí Minh"
18,"15,4 tỷ","Đông Anh, Hà Nội"
19,"21,25 tỷ","Đông Anh, Hà Nội"
,Price,Location
0,"2,5 tỷ","Thường Tín, Hà Nội"
1,"2,4 tỷ","Thạch Thất, Hà Nội"
2,Giá thỏa thuận,"Đông Anh, Hà Nội"
3,Giá thỏa thuận,"Hoàng Mai, Hà Nội"
4,"51,5 tỷ","Tây Hồ, Hà Nội"
5,37 tỷ,"Hoài Đức, Hà Nội"
6,"17,3 tỷ","Văn Giang, Hưng Yên"
7,Giá thỏa thuận,"Thuận Thành, Bắc Ninh"
8,"3,2 tỷ","Hà Đông, Hà Nội"
9,80 tỷ,"Hà Đông, Hà Nội"
10,"6,5 tỷ","Cầu Giấy, Hà Nội"
11,Giá thỏa thuận,"Cẩm Mỹ, Đồng Nai"
12,"2,8 tỷ","Quận 9, Hồ Chí Minh"
13,"2,38 tỷ","Thạch Thất, Hà Nội"
14,Giá thỏa thuận,"Tân Uyên, Bình Dương"
15,"12,5 tỷ","Hà Đông, Hà Nội"
16,"9,5 tỷ","Bình Thạnh, Hồ Chí Minh"
17,"24,8 tỷ","Đông Triều, Quảng Ninh"
18,Giá thỏa thuận,"Nam Từ Liêm, Hà Nội"
19,Giá thỏa thuận,"Nam Từ Liêm, Hà Nội"
,Price,Location
0,Giá thỏa thuận,"Nam Từ Liêm, Hà Nội"
1,Giá thỏa thuận,"Thạch Thất, Hà Nội"
2,4 tỷ,"Gia Lâm, Hà Nội"
3,45 tỷ,"Hà Đông, Hà Nội"
4,Giá thỏa thuận,"Quận 7, Hồ Chí Minh"
5,"11,5 tỷ","Văn Giang, Hưng Yên"
6,Giá thỏa thuận,"Đông Anh, Hà Nội"
7,"2,9 tỷ","Biên Hòa, Đồng Nai"
8,"12,2 tỷ","Hà Đông, Hà Nội"
9,Giá thỏa thuận,"Nam Từ Liêm, Hà Nội"
10,"38,5 tỷ","Hoàng Mai, Hà Nội"
11,131 tỷ,"Đông Anh, Hà Nội"
12,"2,8 tỷ","Vũng Tàu, Bà Rịa Vũng Tàu"
13,"3,6 tỷ","Quận 1, Hồ Chí Minh"
14,"8,6 tỷ","Văn Giang, Hưng Yên"
15,"2,9 tỷ","Quận 9, Hồ Chí Minh"
16,"3,9 tỷ","Quận 9, Hồ Chí Minh"
17,"15,4 tỷ","Đông Anh, Hà Nội"
18,"5,04 tỷ","Long Biên, Hà Nội"
19,19 tỷ,"Đông Anh, Hà Nội"
,Price,Location
0,Giá thỏa thuận,"Lê Chân, Hải Phòng"
1,"5,5 tỷ","Nam Từ Liêm, Hà Nội"
2,"4,48 tỷ","Tân Phú, Hồ Chí Minh"
3,Giá thỏa thuận,"Hoàng Mai, Hà Nội"
4,Giá thỏa thuận,"Nhơn Trạch, Đồng Nai"
5,18 tỷ,"Đông Anh, Hà Nội"
6,"4,42 tỷ","Tân Phú, Hồ Chí Minh"
7,Giá thỏa thuận,"Hà Đông, Hà Nội"
8,Giá thỏa thuận,"Hà Đông, Hà Nội"
9,"18,5 tỷ","Đống Đa, Hà Nội"
10,"5,2 tỷ","Gia Lâm, Hà Nội"
11,8 tỷ,"Văn Giang, Hưng Yên"
12,"15,5 tỷ","Hà Đông, Hà Nội"
13,"6,9 tỷ","Gò Vấp, Hồ Chí Minh"
14,33 tỷ,"Hà Đông, Hà Nội"
15,52 tỷ,"Nam Từ Liêm, Hà Nội"
16,"4,1 tỷ","Quốc Oai, Hà Nội"
17,"7,5 tỷ","Văn Giang, Hưng Yên"
18,160 tỷ,"Hà Đông, Hà Nội"
19,"5,35 tỷ","Nam Từ Liêm, Hà Nội"
,Price,Location
0,"1,9 tỷ","Gia Lâm, Hà Nội"
1,"4,8 tỷ","Gia Lâm, Hà Nội"
2,"4,78 tỷ","Bình Tân, Hồ Chí Minh"
3,"16,7 tỷ","Văn Giang, Hưng Yên"
4,"2,5 tỷ","Đông Anh, Hà Nội"
5,"2,5 tỷ","Vân Đồn, Quảng Ninh"
6,"15,5 tỷ","Văn Giang, Hưng Yên"
7,"15,2 tỷ","Sơn Trà, Đà Nẵng"
8,140 tỷ,"Long Biên, Hà Nội"
9,"3,29 tỷ","Gia Lâm, Hà Nội"
10,"6,3 tỷ","Thanh Thủy, Phú Thọ"
11,"247,38 tỷ","Nam Từ Liêm, Hà Nội"
12,"7,95 tỷ","Thanh Xuân, Hà Nội"
13,31 tỷ,"Đông Anh, Hà Nội"
14,"26,5 tỷ","Hà Đông, Hà Nội"
15,"11,5 tỷ","Quận 12, Hồ Chí Minh"
16,"1,95 tỷ","Thạch Thất, Hà Nội"
17,Giá thỏa thuận,"Thường Tín, Hà Nội"
18,"9,65 tỷ","Quận 12, Hồ Chí Minh"
19,"10,5 tỷ","Thanh Xuân, Hà Nội"
