State,City,Street,Zipcode,Bedroom,Bathroom,Area,PPSq,LotArea,MarketEstimate,RentEstimate,Latitude,Longitude,ListedPrice
AL,Montgomery,Southlawn Dr,36108,3,2,1176,72.27891156,0.17,,,32.3066,-86.33512,85000
AL,Athens,Arbor Dr,35613,2,2,1927,139.0762844,,291400,1892,34.797318,-86.92516,268000
AL,Mobile,Dixie Ln,36693,3,2,1319,125.0189538,0.2308,165200,1200,30.637695,-88.179756,164900
AL,Pinson,Shelterwood Cir,35126,4,3,2430,98.7654321,0.02,239500,1746,33.768818,-86.62087,240000
AL,Monroeville,Hollyhock Rd,36460,3,2,1840,89.67391304,,,,31.507168,-87.31117,165000
AL,Boaz,Elm St #C,35957,2,2,1300,192.2307692,,,,34.201015,-86.16064,249900
AL,Enterprise,Highway 134,36330,3,1,1025,102.3414634,1.4,96200,999,31.317612,-85.91449,104900
AL,Huntsville,River Mill Rd,35811,4,4,3510,170.9401709,0.48,599500,3427,34.79965,-86.48301,600000
AL,Birmingham,Rome Ave,35206,3,1,1438,121.6968011,0.16,,,33.553673,-86.715324,175000
AL,Piedmont,State Highway 9 S,36272,2,3,2160,199.0740741,11.24,,,34.037712,-85.610985,430000
AL,Evergreen,Bruner Ave,36401,5,2,3078,30.21442495,0.71,,1376,31.430414,-86.95541,93000
AL,Huntsville,Mountainbrook Dr SE,35801,5,4,3320,93.37349398,0.45,296800,3198,34.721184,-86.550224,310000
AL,Birmingham,Regency Way,35242,4,4,3240,243.7962963,0.4,,,33.397533,-86.63604,789900
AL,Calera,E Milgray,35040,3,3,2274,142.4802111,0.49,,,33.141056,-86.77153,324000
AL,Foley,Pencarro Blvd,36535,3,2,1730,172.8323699,0.222,,,30.365225,-87.71655,299000
AL,Auburn,Azalea Dr,36830,3,2,1700,217.5882353,0.3,,,32.579987,-85.47276,369900
AL,Athens,Upland Trl,35613,3,2,1489,183.2773674,,,,34.822567,-86.83447,272900
AL,Foley,Live Oak Ave,36555,3,2,1088,229.7794118,0.33,247200,2199,30.405363,-87.77882,250000
AL,Loxley,Landmark Ave,36551,3,2,1428,165.1960784,0.173,234700,1700,30.63612,-87.78366,235900
AL,Alabaster,Forest Hills Cir,35007,5,3,2660,165.037594,0.61,391400,2213,33.203835,-86.80198,439000
AL,Gadsden,Anita Ln,35901,4,2,2163,189.5053167,1.09,,,33.93738,-85.96582,409900
AL,Gulf Shores,Briarwood Dr,36542,4,4,2839,228.953857,,,,30.260681,-87.70223,650000
AL,Daphne,Fionn Loop,36526,4,2,1731,173.3096476,0.161,,,30.579481,-87.84395,299999
AL,Mobile,Dawes Service Rd,36695,4,3,1792,89.28571429,0.7467,159200,1599,30.675133,-88.23147,160000
AL,Mobile,Middle Ring Rd,36608,3,2,1222,90.01636661,0.2289,110300,1350,30.712626,-88.19037,110000
AL,Enterprise,Plaza Dr,36330,3,2,1336,125.3742515,0.46,165800,1764,31.295835,-85.833595,167500
AL,Homewood,Sandner Ct APT D,35209,2,1,864,219.9074074,0,,,33.471996,-86.786545,190000
AL,Cullman,6th St SE,35055,3,2,1341,197.6137211,0.22,263700,1650,34.17533,-86.83396,265000
AL,Fairhope,River Park Rd,36532,3,2,1755,170.6552707,1,,,30.470724,-87.81819,299500
AL,Foley,Headlands Ln,36535,4,2,2047,146.5070835,0.24,,,30.434465,-87.752716,299900
AL,Mobile,S Faure Dr,36605,4,1,1817,74.24325812,0.246,,1400,30.631083,-88.10963,134900
AL,Montgomery,Amherst Rd,36116,3,1,1813,70.60066189,0.2119,,,32.323402,-86.29356,127999
AL,Auburn,Lois Ln,36832,3,2,1693,234.7903131,0.25,,,32.575935,-85.49536,397500
AL,Mobile,Spring Meadow Dr E,36695,3,2,1535,182.3778502,,,1942,30.61962,-88.267395,279950
AL,Theodore,Lundy Rd,36582,3,2,1500,94.66666667,0.7508,,1266,30.56557,-88.228935,142000
AL,Mobile,Ralston Rd,36606,3,2,1660,78.31325301,1,127800,1514,30.680765,-88.10756,130000
AL,Mobile,Anders Dr,36608,4,2,1267,133.3859511,0.1966,,1147,30.711075,-88.19744,169000
AL,Tuscaloosa,Pin Oak Dr,35405,4,3,2600,123.0384615,0.47,309400,1814,33.178677,-87.47292,319900
AL,Mobile,Forest Glen Dr W,36618,3,2,1515,150.4290429,0.2365,227800,1558,30.714804,-88.147964,227900
AL,Daphne,Lakeview Loop,36526,3,2,1704,132.0422535,0.24,223200,2299,30.65488,-87.892334,225000
AL,Birmingham,Lance Way,35206,4,3,5470,36.5630713,0.36,196400,2932,33.57317,-86.68901,200000
AL,Florala,Glen Chambers Rd,36442,3,2,1433,136.008374,5.45,,,31.079906,-86.42805,194900
AL,Marion,Washington St,36756,5,3,3656,57.43982495,,241400,1999,32.628574,-87.319466,210000
AL,Dothan,Candle Brook Dr,36303,2,2,1476,113.0758808,0.2,165200,1700,31.26417,-85.422714,166900
AL,Daphne,Rhone Dr,36526,4,3,2807,228.001425,0.345,,,30.626759,-87.87644,640000
AL,Ozark,Ketcham Rd,36360,8,4,3150,63.17460317,1.9,198000,,31.442524,-85.60594,199000
AL,Birmingham,Harris Rd,35217,4,3,4110,34.03892944,1.09,138200,1570,33.588623,-86.73935,139900
AL,Auburn,E Magnolia Ave,36830,3,2,1560,200,0.48,,,32.606426,-85.45639,312000
AL,Mount Vernon,Long St,36560,3,2,1750,97.14285714,4,,,31.094666,-88.004585,170000
AL,Prattville,Buena Vista Blvd,36067,3,2,1522,148.8173456,0.13,225400,1584,32.428448,-86.45171,226500
AL,Montgomery,Sunset Dr,36109,3,2,1862,91.24597207,0.87,,,32.371876,-86.24128,169900
AL,Headland,State Highway 134 W,36345,3,3,2128,91.63533835,1.12,50300,1778,31.333715,-85.39057,195000
AL,Trussville,Olivia Dr,35173,3,2,1372,167.638484,0.35,,,33.665035,-86.5084,230000
AL,Newton,S College St,36352,3,2,1568,88.89732143,0.49,136300,1389,31.332989,-85.599846,139391
AL,Dora,Warrior Jasper Rd,35062,3,2,1642,167.1741778,2.7,255500,1433,33.748173,-86.981186,274500
AL,Athens,Us Highway 31,35611,2,2,1200,187.5,0.45,,,34.75263,-86.95664,225000
AL,Birmingham,Renfro Rd,35216,4,3,2504,149.7603834,0.67,383100,2464,33.41161,-86.79205,375000
AL,Daphne,Ivy Cir,36526,5,2,1925,153.2467532,0.11,292900,2100,30.637468,-87.89588,295000
AL,Attalla,Dewey Ave,35954,3,1,1000,125,,118400,972,34.00362,-86.12681,125000
AL,Prichard,Dade St,36610,3,1,1245,40.16064257,0.1506,48500,1200,30.740385,-88.093895,50000
AL,Mobile,Hounds Run S,36608,4,3,2238,89.36550492,0.2969,199700,1900,30.68334,-88.198875,200000
AL,Logan,County Road 818,35098,3,2,1272,196.5408805,1.2,251200,1507,34.12248,-87.05896,250000
AL,Grand Bay,Knoke Ave,36541,3,2,1293,150.812065,0.466,187300,1298,30.476803,-88.33238,195000
AL,Tuscaloosa,Old Greensboro Rd,35405,3,3,1205,156.846473,1.5,184800,1266,33.056057,-87.570274,189000
AL,Orange Beach,Pepper Ln,36561,3,4,1507,577.2395488,0.039,,,30.265562,-87.61141,869900
AL,Theodore,Lancaster Rd,36582,4,2,2156,208.7193878,2.2311,447600,1460,30.50111,-88.165405,449999
AL,Huntsville,Derwent Ln,35810,3,2,1634,152.998776,1.7,,,34.822517,-86.58565,250000
AL,Salem,Lee Road 638,36874,4,3,1976,79.95951417,0.73,155200,2243,32.667465,-85.18102,158000
AL,Fort Payne,Meadowbrook Ln NW,35967,3,2,1382,137.4095514,1,,,34.515076,-85.67819,189900
AL,Gulf Shores,W 6th Ave,36542,3,2,1279,468.3346364,0.14,,,30.251629,-87.69282,599000
AL,Montgomery,Felder Ave,36104,5,4,4567,65.46967375,0.83,,,32.356705,-86.30008,299000
AL,Birmingham,11th Ave S APT 202,35205,2,2,1566,214.49553,0,,,33.50458,-86.78514,335900
AL,Wilmer,Trace Ln,36587,3,2,2000,49.95,0.4655,93200,688,30.877403,-88.30783,99900
AL,Huntsville,Acorn Grove Ln SW,35824,3,3,2519,148.8685987,0.14,374400,2184,34.660786,-86.73575,375000
AL,Birmingham,4th Ave S,35206,4,1,1325,113.2075472,0.27,,,33.56158,-86.72133,150000
AL,Birmingham,Westridge Cir,35235,4,2,2354,97.6635514,0.35,,,33.633404,-86.66044,229900
AL,Daphne,Sanibel Loop,36526,3,2,1885,185.6233422,0.232,,,30.599081,-87.86608,349900
AL,Mobile,Fathbrook Ln,36693,3,2,1224,147.0588235,0.1541,179200,1494,30.620256,-88.145485,180000
AL,Foley,Surrey Loop,36535,3,2,1743,200.2294894,0.144,,,30.419397,-87.69455,349000
AL,Gadsden,N Thirtieth St,35904,4,2,1295,100.3861004,0.172176309,95100,1192,34.023613,-86.0518,130000
AL,Enterprise,Kate St,36330,3,1,1242,108.6956522,0.34,133700,1164,31.30808,-85.871994,135000
AL,Wetumpka,Jug Factory Rd,36093,4,3,3202,118.6758276,3.57,360700,2231,32.53193,-86.11993,380000
AL,Gulf Shores,W Lagoon Ave #17-B,36542,2,3,1710,315.2046784,,,,30.245024,-87.71913,539000
AL,Prattville,Peachtree St,36066,4,2,1703,108.5731063,0.33,,,32.45789,-86.44706,184900
AL,Orange Beach,Perdido Beach Blvd APT 2144,36561,1,1,685,786.8613139,0.0001,,,30.262003,-87.61198,539000
AL,Warrior,Gilbert Ln,35180,2,2,2256,42.10992908,1.8,,1325,33.800705,-86.89107,95000
AL,Montgomery,E Delano Ave,36105,3,2,1428,90.96638655,0.26,127500,1019,32.337,-86.29974,129900
AL,Auburn,Deerfield Ct,36832,3,2,1471,200.5438477,0.37,,,32.595737,-85.55934,295000
AL,Birmingham,Chase Ln #3015,35215,1,1,741,80.83670715,0,58500,741,33.66169,-86.67905,59900
AL,Troy,County Road 2225,36079,3,2,1920,148.4375,3,278400,1867,31.705172,-85.99862,285000
AL,Pelham,Trail Ridge Dr,35124,3,3,2517,109.257052,0.88,273600,1949,33.338062,-86.79956,275000
AL,Birmingham,93rd St N,35206,3,1,1136,140.7570423,0.76,,,33.588055,-86.717026,159900
AL,Athens,Lydia Corey Rd,35614,3,1,1218,147.7832512,0.5,,,34.83629,-87.036156,180000
AL,Dothan,Griffin Dr,36303,2,2,1773,107.1573604,0.65,188000,1500,31.256407,-85.43638,189990
AL,Fosters,Lock 9 Rd,35463,3,2,1292,177.9411765,0.55,,1371,33.067043,-87.694695,229900
AL,Gulf Shores,Walther Dr,36542,3,2,1728,190.9143519,0.19,,,30.295889,-87.66739,329900
AL,Duncanville,Butterfly Dr,35456,3,2,1224,162.5816993,,141100,1227,33.10935,-87.46574,199000
AL,Montgomery,George B Edmondson Dr,36110,3,1,1050,65.71428571,0.16,66500,950,32.40325,-86.28537,69000
AL,Tuscaloosa,Laurel Lake Dr,35405,4,2,1791,144.0536013,0.29,257400,1794,33.141556,-87.568474,258000
AL,Phenix City,Irish Ln,36869,4,3,2453,108.0309825,0.17,,,32.44735,-84.99815,265000
AL,Irvington,Oak St,36544,3,2,1505,132.372093,0.8023,192200,1450,30.467716,-88.23551,199220
AL,Prattville,Golson Rd,36067,4,5,2924,139.876881,10,,,32.446907,-86.55534,409000
AL,Muscle Shoals,Gargis Hollow Rd,35661,3,1,1100,163.5454545,0.65,,,34.797276,-87.50192,179900
AL,Tallassee,Powers Ave,36078,3,2,1640,125,0.36,,,32.53751,-85.8778,205000
AL,Montgomery,Valley Brook Ln,36117,4,2,1488,122.983871,0.28,182400,1450,32.408894,-86.201035,183000
AL,Birmingham,Crest Brook Rd,35223,4,3,2592,231.2885802,0.44,,,33.497654,-86.71149,599500
AL,Jackson,Belview Cir,36545,3,2,1060,113.1132075,0.79,,,31.542847,-87.88674,119900
AL,Orange Beach,Ono Blvd,36561,3,2,1524,393.0446194,0.266,,,30.282024,-87.53777,599000
AL,Helena,Dublin Dr,35080,3,2,1262,178.2884311,0.17,,,33.269222,-86.84463,225000
AL,Foley,Meadow Ln,36535,3,2,1528,182.591623,0.295,,,30.396852,-87.67533,279000
AL,Mobile,W Hillwood Dr,36605,4,2,2600,96.15384615,0.4337,,2100,30.62461,-88.09249,250000
AL,Cullman,County Road 710,35055,4,2,1600,93.75,4.8,149200,1822,34.148727,-86.77304,150000
AL,Spanish Fort,Caisson Trce,36527,4,3,2802,153.461813,0.42,,,30.682983,-87.90636,430000
AL,Webb,Ben Ivey Rd,36376,4,2,1313,49.42878903,0.030142332,62300,1300,31.22486,-85.25838,64900
AL,Valley Grande,Berry Rd,36701,3,3,1556,96.33676093,0.65,,,33,-87,149900
AL,Huntsville,Lynn Rd NW,35810,4,2,1511,119.1264064,0.39,179400,1433,34.78267,-86.58862,180000
AL,Guntersville,Wray Rd,35976,3,3,2149,65.10004653,0.5,139800,1800,34.300037,-86.39073,139900
AL,Valley,Lee Road 895,36854,4,3,2100,188.0952381,0.37,,,32.68981,-85.17476,395000
AL,Auburn,S Cedarbrook Dr,36830,4,3,2106,175.6410256,0.36,,,32.63288,-85.48234,369900
AL,Mobile,Oak Lane Cir W,36618,3,1,1217,122.4322104,0.1883,,1300,30.71445,-88.135284,149000
AL,Birmingham,27th St,35218,3,2,1418,98.73060649,0.17,130000,1212,33.501514,-86.89199,140000
AL,Semmes,Wulff Rd S,36575,4,2,2520,118.777381,0.9141,298200,2025,30.761631,-88.292496,299319
AL,Arab,Ruth Rd,35016,3,2,1712,113.9018692,1,194300,1628,34.356606,-86.522484,195000
AL,Guntersville,Buttercup Dr #425-427,35976,2,1,925,167.5567568,0.21,146600,1200,34.42224,-86.25966,154990
AL,Fort Mitchell,Ihagee Creek Cir,36856,4,2,2002,134.8651349,0.44,,,32.232662,-84.973465,270000
AL,Gulf Shores,N Gemini St,36542,4,2,1856,206.3038793,0.1433,,,30.302923,-87.69361,382900
AL,Clanton,County Road 32,35046,3,2,1152,147.4826389,2.15,169500,1194,32.878918,-86.56741,169900
AL,Daleville,Gritney Rd,36322,3,2,1902,94.63722397,0.33,,,31.264801,-85.72387,180000
AL,Anniston,Eulaton Rd,36201,3,2,1696,29.45165094,0.5,,1194,33.654697,-85.90091,49950
AL,Kellyton,Coosa County Rd,35089,3,2,1760,78.97727273,3,,,32.981297,-86.03913,139000
AL,Prattville,Gray Dr,36067,3,2,2000,112.45,0.24,,,32.444508,-86.47387,224900
AL,Huntsville,Pops Cor,35811,4,2,2289,152.9051988,0.51,,,34.777668,-86.48719,350000
AL,Rogersville,County Road 165,35652,3,3,1400,132.0714286,0.5,182100,1300,34.81635,-87.262695,184900
AL,Kellyton,Coosa County Road 50,35089,3,2,1760,79.48863636,3,,605,32.981277,-86.039116,139900
AL,Spanish Fort,Caisson Trce,36527,5,4,2600,144.2307692,0.665,,,30.678589,-87.90917,375000
AL,Vernon,Pennington Ln,35592,3,1,1187,67.39679865,4,76700,1650,33.787724,-88.165764,80000
AL,Gallion,Maple St,36742,3,2,2925,135.042735,6,393600,2459,32.512672,-87.71695,395000
AL,Wilmer,Fillingim Rd,36587,4,3,2541,118.0637544,2.3,298900,1099,30.790745,-88.30819,300000
AL,Thorsby,Jones St,35171,5,3,2370,116.835443,10,,1905,32.91567,-86.69866,276900
AL,Cullman,Barton Dr NE,35055,3,2,2349,108.5568327,0.53,253100,1599,34.191113,-86.81209,255000
AL,Mobile,Scarlett Oak Dr,36608,3,2,1232,156.25,0.3775,,,30.62828,-88.35601,192500
AL,Abbeville,S Lakeview Dr,36310,4,2,1344,115.2529762,0.93,117000,,31.65619,-85.10319,154900
AL,Summerdale,County Road 34,36580,3,2,1908,209.3815514,3.07,,,30.494781,-87.73094,399500
AL,Bay Minette,W 6th St,36507,4,3,2100,114.2380952,0.302,,,30.887451,-87.77709,239900
AL,Anniston,Parkwood Dr,36201,3,2,1016,157.480315,0.5,159400,1032,33.688515,-85.862495,160000
AL,Grand Bay,Deer Cir,36541,4,3,2400,162.6708333,2.3,392200,2649,30.559324,-88.4035,390410
AL,Stevenson,County Road 370,35772,4,2,1755,136.6951567,0.68,238000,1599,34.907852,-85.76508,239900
AL,Huntsville,Antietam Rd SE,35803,3,2,1457,171.5854496,0.21,247200,1599,34.61809,-86.54882,250000
AL,Foley,Fulton Loop,36535,3,2,1588,188.8539043,0.2388,,,30.37459,-87.69701,299900
AL,Owens Cross Roads,Jump St SE,35763,4,3,2210,176.0180995,0.25,,,34.635723,-86.49413,389000
AL,Slocomb,E State Highway 52,36375,4,3,2797,130.496961,10,,,31.106539,-85.629974,365000
AL,Columbiana,Hillsdale Dr,35051,4,2,2432,27.91940789,0.77,,,33.142124,-86.60367,67900
AL,Owens Cross Roads,Chaco St,35763,3,2,1480,202.7027027,0.246097337,,,34.61587,-86.497795,300000
AL,Saraland,Deer Run Dr,36571,3,2,1828,108.3150985,0.4658,199700,1599,30.841074,-88.08948,198000
