Product,Price,Date
iPhone 16 Pro Max,"44,263,287",2023-11-01
iPhone 16 Pro Max (512GB),"48,995,365",2024-09-14
iPhone 16 Pro,"36,137,936",2023-07-26
Samsung Galaxy Z Flip6 12GB/512GB,"32,386,328",2023-08-25
iPhone 16 (256GB),"30,218,473",2024-07-01
iPhone 16 (256GB),"30,308,588",2023-08-03
Samsung Galaxy Z Fold6 12GB/256GB,"39,633,282",2023-12-22
Samsung Galaxy Z Fold6 12GB/256GB,"39,566,425",2024-01-19
iPhone 16 Pro (256GB),"36,965,296",2023-09-06
Samsung Galaxy Z Fold6 12GB/1TB,"49,115,185",2024-08-22
iPhone 16 (256GB),"28,232,217",2024-09-17
iPhone 16 Pro,"35,888,459",2024-03-05
iPhone 16 Pro,"40,795,996",2024-01-29
Samsung Galaxy Z Flip6 12GB/512GB,"33,250,417",2024-07-31
Samsung Galaxy Z Flip6 12GB/256GB,"31,193,907",2024-04-24
iPhone 16 (256GB),"29,245,101",2024-02-19
iPhone 16 (256GB),"32,600,790",2024-09-10
iPhone 16 (256GB),"29,387,420",2024-01-14
Samsung Galaxy Z Fold6 12GB/1TB,"46,405,802",2023-09-14
Samsung Galaxy Z Fold6 12GB/512GB,"44,477,319",2024-04-17
iPhone 16 Plus,"33,957,630",2023-12-15
iPhone 16 Plus,"31,201,479",2023-08-26
Samsung Galaxy Z Fold6 12GB/1TB,"47,341,321",2024-03-02
iPhone 16 Pro,"38,595,189",2023-08-17
iPhone 16 (256GB),"29,146,887",2024-01-01
iPhone 16,"28,781,327",2023-07-29
iPhone 16 Pro (256GB),"35,868,996",2024-04-28
Samsung Galaxy Z Fold6 12GB/256GB,"37,782,156",2023-09-29
iPhone 16 Pro Max,"42,427,397",2023-11-02
iPhone 16,"25,383,561",2023-09-04
iPhone 16 Pro,"37,489,925",2024-06-09
Samsung Galaxy Z Fold6 12GB/512GB,"40,483,380",2024-07-11
iPhone 16 (256GB),"31,728,680",2024-04-11
iPhone 16 Pro Max,"45,572,750",2024-02-29
Samsung Galaxy Z Fold6 12GB/512GB,"44,232,256",2024-08-31
iPhone 16,"27,726,552",2024-08-10
Samsung Galaxy Z Flip6 12GB/256GB,"28,943,711",2023-11-10
iPhone 16 Pro,"36,342,216",2023-10-17
iPhone 16 Pro Max,"50,637,531",2024-07-29
Samsung Galaxy Z Fold6 12GB/1TB,"48,660,969",2024-08-12
iPhone 16 Pro Max,"40,234,496",2024-06-19
Samsung Galaxy Z Flip6 12GB/256GB,"32,609,918",2023-08-05
iPhone 16 Pro Max (512GB),"50,823,430",2024-02-20
iPhone 16 Pro Max,"46,266,273",2023-11-17
iPhone 16 (256GB),"29,601,999",2024-01-10
iPhone 16 Plus,"33,991,719",2023-09-14
iPhone 16 Pro,"38,350,365",2024-07-24
iPhone 16 Pro Max (512GB),"47,848,806",2023-12-26
Samsung Galaxy Z Fold6 12GB/1TB,"49,430,700",2024-06-21
iPhone 16 Plus,"34,726,110",2023-09-26
iPhone 16 Pro (256GB),"34,233,204",2023-08-05
iPhone 16 Pro Max (512GB),"46,793,951",2024-07-28
Samsung Galaxy Z Flip6 12GB/256GB,"31,489,157",2023-08-31
Samsung Galaxy Z Fold6 12GB/512GB,"40,858,629",2024-01-03
Samsung Galaxy Z Flip6 12GB/256GB,"29,981,528",2024-04-23
iPhone 16 (256GB),"28,899,329",2023-09-22
Samsung Galaxy Z Fold6 12GB/1TB,"45,780,125",2024-03-27
iPhone 16,"30,847,749",2024-09-20
iPhone 16 Pro (256GB),"37,113,841",2024-01-26
Samsung Galaxy Z Flip6 12GB/256GB,"30,266,941",2023-09-21
Samsung Galaxy Z Flip6 12GB/512GB,"33,788,642",2024-01-31
Samsung Galaxy Z Fold6 12GB/1TB,"48,148,865",2024-03-07
Samsung Galaxy Z Fold6 12GB/512GB,"45,752,232",2024-02-25
Samsung Galaxy Z Fold6 12GB/1TB,"49,866,216",2023-10-12
Samsung Galaxy Z Fold6 12GB/1TB,"47,856,467",2024-04-07
iPhone 16 Plus (256GB),"34,304,318",2023-12-27
iPhone 16 Pro Max,"49,815,695",2023-11-16
iPhone 16 Pro Max (512GB),"45,703,576",2024-08-03
Samsung Galaxy Z Flip6 12GB/512GB,"33,583,381",2024-05-13
iPhone 16,"27,740,713",2024-03-20
Samsung Galaxy Z Fold6 12GB/256GB,"38,766,139",2024-09-26
Samsung Galaxy Z Flip6 12GB/512GB,"34,799,520",2024-06-18
Samsung Galaxy Z Flip6 12GB/512GB,"32,914,694",2024-09-16
iPhone 16 Pro Max,"47,153,332",2024-02-02
iPhone 16 Pro Max,"49,792,466",2024-01-23
iPhone 16 Pro (256GB),"36,654,140",2024-08-30
iPhone 16 Pro (256GB),"34,546,483",2024-02-23
iPhone 16 Plus,"30,596,148",2023-08-28
iPhone 16 (256GB),"28,988,197",2024-09-08
iPhone 16 Pro,"37,430,741",2023-10-21
Samsung Galaxy Z Fold6 12GB/256GB,"37,595,764",2024-02-22
iPhone 16 (256GB),"30,950,121",2024-04-13
iPhone 16,"29,463,115",2023-10-09
iPhone 16 Plus (256GB),"33,662,472",2023-11-13
Samsung Galaxy Z Flip6 12GB/256GB,"30,121,550",2024-06-23
iPhone 16 Pro Max (512GB),"49,827,294",2023-11-16
iPhone 16 Pro Max,"47,557,941",2023-07-22
Samsung Galaxy Z Fold6 12GB/1TB,"46,212,269",2024-02-13
iPhone 16 Pro,"38,877,218",2024-05-05
iPhone 16 Pro (256GB),"34,161,359",2024-07-22
Samsung Galaxy Z Fold6 12GB/512GB,"41,129,682",2024-04-26
iPhone 16 Pro,"35,651,890",2023-08-27
Samsung Galaxy Z Flip6 12GB/256GB,"28,244,899",2024-07-16
iPhone 16 Pro Max,"46,245,342",2024-03-09
Samsung Galaxy Z Fold6 12GB/1TB,"45,264,721",2024-04-08
iPhone 16 (256GB),"28,620,888",2024-07-23
iPhone 16 Pro (256GB),"36,833,433",2024-07-04
iPhone 16 Pro,"40,824,100",2023-12-30
iPhone 16 (256GB),"29,153,591",2023-09-30
iPhone 16 Plus (256GB),"32,484,516",2024-05-18
iPhone 16 Pro Max,"42,934,180",2024-09-13
iPhone 16 Pro Max,"46,698,332",2023-08-01
iPhone 16,"26,113,651",2023-09-13
iPhone 16 Plus (256GB),"35,451,354",2024-02-20
iPhone 16 Pro Max (512GB),"46,685,925",2024-09-20
iPhone 16 Plus,"30,559,478",2023-08-20
iPhone 16 Pro (256GB),"36,278,555",2024-06-11
iPhone 16 (256GB),"29,803,270",2023-11-07
iPhone 16 Pro (256GB),"34,328,585",2023-09-16
Samsung Galaxy Z Fold6 12GB/512GB,"42,261,326",2024-02-17
Samsung Galaxy Z Fold6 12GB/256GB,"36,626,370",2024-09-05
iPhone 16 Pro (256GB),"32,121,548",2024-08-11
iPhone 16 Pro Max (512GB),"50,390,375",2024-04-10
iPhone 16 Pro Max,"41,936,900",2023-10-07
iPhone 16 (256GB),"31,224,919",2023-10-25
iPhone 16 Pro Max (512GB),"45,765,317",2024-08-31
iPhone 16 Pro Max,"46,629,366",2024-07-15
Samsung Galaxy Z Flip6 12GB/256GB,"30,346,427",2024-09-14
iPhone 16 Plus,"31,799,308",2024-05-03
iPhone 16 Pro (256GB),"32,935,991",2024-03-02
iPhone 16 Pro (256GB),"37,273,246",2023-07-21
Samsung Galaxy Z Fold6 12GB/1TB,"47,728,930",2024-08-04
iPhone 16 Plus (256GB),"32,423,398",2024-07-15
iPhone 16,"30,432,513",2024-05-31
iPhone 16 Pro Max,"42,174,598",2023-11-09
iPhone 16 (256GB),"28,669,748",2024-08-17
iPhone 16 Pro (256GB),"34,135,607",2023-08-07
iPhone 16 Pro Max,"46,189,275",2023-07-28
Samsung Galaxy Z Fold6 12GB/512GB,"45,153,626",2024-05-24
iPhone 16 (256GB),"30,904,526",2024-01-17
iPhone 16 Plus (256GB),"32,115,904",2024-06-27
iPhone 16 Pro Max,"46,198,798",2024-03-06
iPhone 16 (256GB),"29,172,905",2024-02-25
Samsung Galaxy Z Fold6 12GB/1TB,"49,235,927",2023-10-19
iPhone 16 Pro,"40,451,198",2024-03-25
iPhone 16 Pro Max,"46,375,127",2024-08-10
Samsung Galaxy Z Fold6 12GB/256GB,"39,243,815",2024-05-24
Samsung Galaxy Z Flip6 12GB/256GB,"28,613,595",2023-10-04
iPhone 16 Plus (256GB),"31,975,208",2023-07-21
Samsung Galaxy Z Flip6 12GB/256GB,"29,924,178",2024-05-03
iPhone 16,"28,514,824",2024-08-05
iPhone 16 Plus,"33,268,562",2024-07-14
iPhone 16,"27,446,531",2024-09-14
iPhone 16 Pro (256GB),"37,989,947",2023-11-13
Samsung Galaxy Z Fold6 12GB/256GB,"39,315,660",2023-12-05
iPhone 16 Pro,"40,726,273",2024-01-31
iPhone 16 Pro,"35,301,251",2024-05-22
iPhone 16 Plus,"31,421,649",2023-10-26
iPhone 16 Pro Max,"44,612,750",2024-04-07
iPhone 16 Pro Max (512GB),"45,255,574",2023-07-13
Samsung Galaxy Z Fold6 12GB/512GB,"41,348,402",2024-05-18
iPhone 16 Pro (256GB),"35,733,668",2024-08-22
Samsung Galaxy Z Flip6 12GB/256GB,"29,335,606",2023-08-08
iPhone 16 (256GB),"31,874,869",2023-12-04
iPhone 16 Pro Max,"42,102,744",2024-05-26
Samsung Galaxy Z Flip6 12GB/512GB,"35,960,931",2024-03-26
Samsung Galaxy Z Fold6 12GB/512GB,"44,222,301",2023-09-12
iPhone 16 Plus (256GB),"34,834,961",2023-09-10
iPhone 16 (256GB),"29,787,981",2024-08-30
iPhone 16 Pro (256GB),"32,427,721",2023-12-22
iPhone 16 Pro Max (512GB),"47,583,770",2024-02-19
iPhone 16 Pro,"40,281,862",2024-03-27
iPhone 16 Plus (256GB),"33,415,449",2023-09-29
iPhone 16 Plus,"31,985,620",2024-01-05
iPhone 16 Plus (256GB),"31,215,455",2023-12-01
Samsung Galaxy Z Flip6 12GB/512GB,"35,498,866",2023-12-02
iPhone 16,"28,945,539",2024-06-24
iPhone 16 Pro Max,"40,520,523",2024-01-15
iPhone 16 Pro Max (512GB),"48,322,507",2023-10-28
iPhone 16 Pro,"37,558,209",2023-08-25
Samsung Galaxy Z Flip6 12GB/512GB,"35,217,713",2024-02-04
iPhone 16 Pro Max,"43,919,230",2023-09-08
iPhone 16 Pro (256GB),"36,956,375",2023-11-25
iPhone 16 (256GB),"29,371,748",2024-01-29
iPhone 16 Plus (256GB),"30,264,954",2024-03-26
iPhone 16 Pro (256GB),"35,462,222",2024-01-04
iPhone 16 Plus,"30,491,485",2024-09-19
iPhone 16,"28,921,736",2024-02-18
Samsung Galaxy Z Fold6 12GB/256GB,"40,389,350",2024-04-19
iPhone 16 Pro Max (512GB),"48,548,254",2024-08-22
iPhone 16 Pro,"38,851,286",2024-02-08
iPhone 16 Plus,"30,515,619",2024-01-27
Samsung Galaxy Z Flip6 12GB/256GB,"30,643,149",2023-11-08
iPhone 16 Pro Max,"49,187,389",2024-02-22
iPhone 16 Plus (256GB),"33,717,905",2024-03-07
Samsung Galaxy Z Fold6 12GB/256GB,"35,254,874",2024-08-04
Samsung Galaxy Z Fold6 12GB/512GB,"41,973,409",2024-09-03
Samsung Galaxy Z Fold6 12GB/512GB,"41,768,426",2024-06-02
iPhone 16 Pro Max (512GB),"46,521,409",2023-08-27
iPhone 16 Pro (256GB),"36,698,272",2023-08-22
Samsung Galaxy Z Fold6 12GB/512GB,"43,313,465",2024-03-14
Samsung Galaxy Z Fold6 12GB/512GB,"41,145,100",2023-11-13
iPhone 16,"30,726,591",2023-08-21
Samsung Galaxy Z Fold6 12GB/512GB,"43,857,422",2024-08-02
iPhone 16 (256GB),"32,898,999",2023-11-06
iPhone 16 Pro Max,"46,220,333",2023-11-15
Samsung Galaxy Z Flip6 12GB/512GB,"34,704,979",2024-08-02
iPhone 16 Plus,"34,897,434",2024-09-06
iPhone 16,"26,317,485",2023-10-06
iPhone 16 Plus (256GB),"31,775,983",2024-05-10
iPhone 16 Pro,"37,255,384",2024-01-06
Samsung Galaxy Z Flip6 12GB/256GB,"32,294,880",2023-07-22
Samsung Galaxy Z Flip6 12GB/256GB,"29,885,105",2023-10-23
iPhone 16,"30,401,785",2023-12-26
iPhone 16 Pro Max (512GB),"50,643,703",2024-06-23
iPhone 16,"25,931,879",2023-07-18
Samsung Galaxy Z Flip6 12GB/256GB,"28,692,725",2023-11-17
iPhone 16 Pro (256GB),"34,294,896",2024-08-19
iPhone 16,"25,316,722",2024-04-26
iPhone 16,"28,612,969",2024-01-15
iPhone 16 Pro,"37,606,266",2024-04-14
iPhone 16 Pro,"35,391,415",2024-06-15
iPhone 16 Pro (256GB),"36,358,625",2024-05-14
Samsung Galaxy Z Fold6 12GB/256GB,"37,807,234",2023-08-15
iPhone 16 Pro,"38,346,594",2023-08-29
iPhone 16 Pro (256GB),"37,584,537",2024-06-15
iPhone 16 Plus,"33,488,196",2024-09-08
iPhone 16 Plus,"33,912,128",2023-08-13
iPhone 16 Pro Max,"47,119,935",2023-10-01
Samsung Galaxy Z Flip6 12GB/512GB,"32,297,362",2024-04-15
Samsung Galaxy Z Fold6 12GB/256GB,"38,938,734",2024-06-18
Samsung Galaxy Z Fold6 12GB/256GB,"39,698,712",2024-01-22
iPhone 16 (256GB),"29,694,302",2024-07-18
Samsung Galaxy Z Fold6 12GB/256GB,"39,154,570",2023-12-21
iPhone 16,"25,598,855",2024-07-26
Samsung Galaxy Z Flip6 12GB/512GB,"35,218,937",2023-09-13
iPhone 16 Pro Max,"48,413,628",2024-06-23
Samsung Galaxy Z Fold6 12GB/512GB,"42,256,692",2024-09-06
Samsung Galaxy Z Flip6 12GB/512GB,"33,478,444",2024-02-14
iPhone 16 Plus,"30,956,848",2024-02-14
iPhone 16 (256GB),"31,336,760",2024-08-27
Samsung Galaxy Z Fold6 12GB/256GB,"36,218,277",2024-04-07
iPhone 16 Plus (256GB),"33,898,554",2023-10-05
Samsung Galaxy Z Fold6 12GB/512GB,"42,689,722",2024-08-02
iPhone 16 Pro Max,"42,438,258",2023-08-14
Samsung Galaxy Z Fold6 12GB/512GB,"40,689,620",2024-04-02
iPhone 16 Pro Max,"46,189,392",2023-08-07
iPhone 16 (256GB),"28,227,142",2024-05-22
Samsung Galaxy Z Fold6 12GB/1TB,"49,859,255",2023-07-19
Samsung Galaxy Z Fold6 12GB/256GB,"40,859,268",2024-01-31
Samsung Galaxy Z Fold6 12GB/512GB,"44,541,634",2024-08-22
Samsung Galaxy Z Flip6 12GB/512GB,"33,897,746",2024-04-29
Samsung Galaxy Z Fold6 12GB/1TB,"47,357,952",2024-07-19
