Product,Price,Date
Samsung Galaxy S23 8GB 128GB,17407000,10/7/2023
iPhone 13 Pro Max 128GB,23713000,10/7/2023
TECNO SPARK Go 2024 4GB 64GB,1852000,10/7/2023
Samsung Galaxy S24 Plus 12GB 512GB,31234000,10/7/2023
TECNO SPARK 20PRO+,3150000,10/7/2023
Samsung Galaxy S24 Plus 12GB 256GB,22847000,10/7/2023
Samsung Galaxy S23 FE 5G 8GB 128GB,11118000,10/7/2023
Samsung Galaxy S23 FE 8GB 256GB,11717000,10/7/2023
Tecno Camon 30 12GB/256GB,4831000,10/7/2023
Samsung Galaxy S23 Ultra 12GB 512GB,28900000,10/7/2023
TECNO POVA 5 8GB 128GB,3710000,10/7/2023
Samsung Galaxy M55 (12GB 256GB),8867000,10/7/2023
TECNO SPARK 20 8GB 128GB,3871000,10/7/2023
Tecno Camon 30 8GB/256GB,6257000,10/7/2023
OPPO Find X5 Pro 12GB 256GB,12574000,10/7/2023
Tecno Pova 6 (8GB/256GB),7746000,10/7/2023
Samsung Galaxy S24 Ultra 12GB 256GB,32034000,10/7/2023
OPPO Reno10 Pro+ 5G 12GB 256GB,13509000,10/7/2023
Samsung Galaxy S23 8GB 128GB,10291000,10/7/2023
iPhone 16 128GB,21084000,10/7/2023
iPhone 16 Pro Max 256GB,46910000,10/7/2023
Samsung Galaxy S24 Ultra 12GB 256GB,21064000,10/7/2023
iPhone 16 Pro 128GB,25752000,10/7/2023
iPhone 15 Pro Max 256GB,17693000,10/7/2023
Samsung Galaxy Z Fold6,42486000,10/7/2023
iPhone 13 128GB,18758000,10/7/2023
iPhone 15 128GB,21963000,10/7/2023
iPhone 14 Pro Max 128GB,24372000,10/7/2023
Samsung Galaxy A15 LTE 8GB 128GB,5876000,10/7/2023
iPhone 15 Plus 128GB,32054000,10/7/2023
iPhone 15 Pro 128GB,28541000,10/7/2023
Samsung Galaxy S23 Ultra 12GB 512GB,38339000,10/7/2023
Xiaomi POCO X6 Pro 5G 8GB 256GB,11172000,10/7/2023
Samsung Galaxy Z Flip6,24789000,10/7/2023
Xiaomi 14T,11476000,10/7/2023
iPhone 12 Pro Max 128GB,27510000,10/7/2023
Xiaomi Redmi Note 13 (6GB 128GB),3042000,10/7/2023
Samsung Galaxy S23 8GB 128GB,11605000,10/7/2023
iPhone 13 Pro Max 128GB,17228000,10/7/2023
TECNO SPARK Go 2024 4GB 64GB,1929000,10/7/2023
Samsung Galaxy S24 Plus 12GB 512GB,34313000,10/7/2023
TECNO SPARK 20PRO+,5555000,10/7/2023
Samsung Galaxy S24 Plus 12GB 256GB,17002000,10/7/2023
Samsung Galaxy S23 FE 5G 8GB 128GB,13255000,10/7/2023
Samsung Galaxy S23 FE 8GB 256GB,13552000,10/7/2023
Tecno Camon 30 12GB/256GB,4847000,10/7/2023
Samsung Galaxy S23 Ultra 12GB 512GB,27440000,10/7/2023
TECNO POVA 5 8GB 128GB,4608000,10/7/2023
Samsung Galaxy M55 (12GB 256GB),14425000,10/7/2023
TECNO SPARK 20 8GB 128GB,1818000,10/7/2023
Tecno Camon 30 8GB/256GB,5545000,10/7/2023
OPPO Find X5 Pro 12GB 256GB,10423000,10/7/2023
Tecno Pova 6 (8GB/256GB),7249000,10/7/2023
Samsung Galaxy S24 Ultra 12GB 256GB,21542000,10/7/2023
OPPO Reno10 Pro+ 5G 12GB 256GB,12905000,10/7/2023
Samsung Galaxy S23 8GB 128GB,17455000,10/7/2023
iPhone 16 128GB,23588000,10/7/2023
iPhone 16 Pro Max 256GB,52239000,10/7/2023
Samsung Galaxy S24 Ultra 12GB 256GB,19745000,10/7/2023
iPhone 16 Pro 128GB,23762000,10/7/2023
iPhone 15 Pro Max 256GB,24985000,10/7/2023
Samsung Galaxy Z Fold6,53745000,10/7/2023
iPhone 13 128GB,13095000,10/7/2023
iPhone 15 128GB,24478000,10/7/2023
iPhone 14 Pro Max 128GB,16132000,10/7/2023
Samsung Galaxy A15 LTE 8GB 128GB,3163000,10/7/2023
iPhone 15 Plus 128GB,18798000,10/7/2023
iPhone 15 Pro 128GB,21012000,10/7/2023
Samsung Galaxy S23 Ultra 12GB 512GB,36150000,10/7/2023
Xiaomi POCO X6 Pro 5G 8GB 256GB,7913000,10/7/2023
Samsung Galaxy Z Flip6,24781000,10/7/2023
Xiaomi 14T,14024000,10/7/2023
iPhone 12 Pro Max 128GB,23448000,10/7/2023
Xiaomi Redmi Note 13 (6GB 128GB),4761000,10/7/2023
Samsung Galaxy S23 8GB 128GB,20034000,10/7/2023
iPhone 13 Pro Max 128GB,21156000,10/7/2023
TECNO SPARK Go 2024 4GB 64GB,2012000,10/7/2023
Samsung Galaxy S24 Plus 12GB 512GB,32360000,10/7/2023
TECNO SPARK 20PRO+,5209000,10/7/2023
Samsung Galaxy S24 Plus 12GB 256GB,14291000,10/7/2023
Samsung Galaxy S23 FE 5G 8GB 128GB,10577000,10/7/2023
Samsung Galaxy S23 FE 8GB 256GB,10808000,10/7/2023
Tecno Camon 30 12GB/256GB,4822000,10/7/2023
Samsung Galaxy S23 Ultra 12GB 512GB,19953000,10/7/2023
TECNO POVA 5 8GB 128GB,3364000,10/7/2023
Samsung Galaxy M55 (12GB 256GB),10104000,10/7/2023
TECNO SPARK 20 8GB 128GB,3603000,10/7/2023
Tecno Camon 30 8GB/256GB,5663000,10/7/2023
OPPO Find X5 Pro 12GB 256GB,17183000,10/7/2023
Tecno Pova 6 (8GB/256GB),8265000,10/7/2023
Samsung Galaxy S24 Ultra 12GB 256GB,30609000,10/7/2023
OPPO Reno10 Pro+ 5G 12GB 256GB,13665000,10/7/2023
Samsung Galaxy S23 8GB 128GB,12315000,10/7/2023
iPhone 16 128GB,25355000,10/7/2023
iPhone 16 Pro Max 256GB,48130000,10/7/2023
Samsung Galaxy S24 Ultra 12GB 256GB,22548000,10/7/2023
iPhone 16 Pro 128GB,24793000,10/7/2023
iPhone 15 Pro Max 256GB,23765000,10/7/2023
Samsung Galaxy Z Fold6,29337000,10/7/2023
iPhone 13 128GB,13315000,10/7/2023
iPhone 15 128GB,18920000,10/7/2023
iPhone 14 Pro Max 128GB,24603000,10/7/2023
Samsung Galaxy A15 LTE 8GB 128GB,6127000,10/7/2023
iPhone 15 Plus 128GB,18353000,10/7/2023
iPhone 15 Pro 128GB,22720000,10/7/2023
Samsung Galaxy S23 Ultra 12GB 512GB,25330000,10/7/2023
Xiaomi POCO X6 Pro 5G 8GB 256GB,6376000,10/7/2023
Samsung Galaxy Z Flip6,32508000,10/7/2023
Xiaomi 14T,10963000,10/7/2023
iPhone 12 Pro Max 128GB,22489000,10/7/2023
Xiaomi Redmi Note 13 (6GB 128GB),3484000,10/7/2023
Samsung Galaxy S23 8GB 128GB,12453000,10/7/2023
iPhone 13 Pro Max 128GB,40384000,10/7/2023
TECNO SPARK Go 2024 4GB 64GB,1517000,10/7/2023
Samsung Galaxy S24 Plus 12GB 512GB,15643000,10/7/2023
TECNO SPARK 20PRO+,3846000,10/7/2023
Samsung Galaxy S24 Plus 12GB 256GB,15251000,10/7/2023
Samsung Galaxy S23 FE 5G 8GB 128GB,10192000,10/7/2023
Samsung Galaxy S23 FE 8GB 256GB,11075000,10/7/2023
Tecno Camon 30 12GB/256GB,4152000,10/7/2023
Samsung Galaxy S23 Ultra 12GB 512GB,20747000,10/7/2023
TECNO POVA 5 8GB 128GB,4342000,10/7/2023
Samsung Galaxy M55 (12GB 256GB),11630000,10/7/2023
TECNO SPARK 20 8GB 128GB,2353000,10/7/2023
Tecno Camon 30 8GB/256GB,5544000,10/7/2023
OPPO Find X5 Pro 12GB 256GB,16206000,10/7/2023
Tecno Pova 6 (8GB/256GB),3552000,10/7/2023
Samsung Galaxy S24 Ultra 12GB 256GB,28462000,10/7/2023
OPPO Reno10 Pro+ 5G 12GB 256GB,13834000,10/7/2023
Samsung Galaxy S23 8GB 128GB,12436000,10/7/2023
iPhone 16 128GB,16349000,10/7/2023
iPhone 16 Pro Max 256GB,26108000,10/7/2023
Samsung Galaxy S24 Ultra 12GB 256GB,14817000,10/7/2023
iPhone 16 Pro 128GB,27425000,10/7/2023
iPhone 15 Pro Max 256GB,26654000,10/7/2023
Samsung Galaxy Z Fold6,41109000,10/7/2023
iPhone 13 128GB,12272000,10/7/2023
iPhone 15 128GB,24927000,10/7/2023
iPhone 14 Pro Max 128GB,31511000,10/7/2023
Samsung Galaxy A15 LTE 8GB 128GB,5753000,10/7/2023
iPhone 15 Plus 128GB,20828000,10/7/2023
iPhone 15 Pro 128GB,21994000,10/7/2023
Samsung Galaxy S23 Ultra 12GB 512GB,30505000,10/7/2023
Xiaomi POCO X6 Pro 5G 8GB 256GB,8321000,10/7/2023
Samsung Galaxy Z Flip6,20994000,10/7/2023
Xiaomi 14T,14724000,10/7/2023
iPhone 12 Pro Max 128GB,16273000,10/7/2023
Xiaomi Redmi Note 13 (6GB 128GB),3821000,10/7/2023
Samsung Galaxy S23 8GB 128GB,14059000,10/7/2023
iPhone 13 Pro Max 128GB,15590000,10/7/2023
Samsung Galaxy S24 Plus 12GB 512GB,18606000,10/7/2023
TECNO SPARK 20PRO+,5315000,10/7/2023
TECNO SPARK Go 2024 4GB 64GB,1476000,10/7/2023
Samsung Galaxy S24 Plus 12GB 256GB,24216000,10/7/2023
Samsung Galaxy S23 FE 5G 8GB 128GB,10316000,10/7/2023
TECNO POVA 5 8GB 128GB,3258000,10/7/2023
Tecno Camon 30 12GB/256GB,5091000,10/7/2023
TECNO SPARK 20 8GB 128GB,1891000,10/7/2023
Tecno Camon 30 8GB/256GB,4585000,10/7/2023
OPPO Find X5 Pro 12GB 256GB,13964000,10/7/2023
Tecno Pova 6 (8GB/256GB),6823000,10/7/2023
Samsung Galaxy S23 FE 8GB 256GB,11369000,10/7/2023
Samsung Galaxy M55 (12GB 256GB),10439000,10/7/2023
Samsung Galaxy S23 Ultra 12GB 512GB,17349000,10/7/2023
OPPO Reno10 Pro+ 5G 12GB 256GB,18132000,10/7/2023
Samsung Galaxy S24 Ultra 12GB 256GB,24504000,10/7/2023
Samsung Galaxy S23 8GB 128GB,16736000,10/7/2023
iPhone 16 128GB,18130000,10/7/2023
iPhone 16 Pro Max 256GB,30999000,10/7/2023
Samsung Galaxy S24 Ultra 12GB 256GB,17614000,10/7/2023
iPhone 16 Pro 128GB,22669000,10/7/2023
iPhone 15 Pro Max 256GB,20959000,10/7/2023
Samsung Galaxy Z Fold6,31186000,10/7/2023
iPhone 13 128GB,11192000,10/7/2023
iPhone 15 128GB,15145000,10/7/2023
iPhone 14 Pro Max 128GB,25400000,10/7/2023
Samsung Galaxy A15 LTE 8GB 128GB,4407000,10/7/2023
iPhone 15 Plus 128GB,20795000,10/7/2023
iPhone 15 Pro 128GB,22579000,10/7/2023
Samsung Galaxy S23 Ultra 12GB 512GB,23981000,10/7/2023
Xiaomi POCO X6 Pro 5G 8GB 256GB,8075000,10/7/2023
Samsung Galaxy Z Flip6,21765000,10/7/2023
Xiaomi 14T,18208000,10/7/2023
iPhone 12 Pro Max 128GB,21214000,10/7/2023
Xiaomi Redmi Note 13 (6GB 128GB),2855000,10/7/2023
Samsung Galaxy S23 8GB 128GB,17280000,10/7/2023
iPhone 13 Pro Max 128GB,17369000,10/7/2023
TECNO SPARK Go 2024 4GB 64GB,2844000,10/7/2023
Samsung Galaxy S24 Plus 12GB 512GB,28124000,10/7/2023
TECNO SPARK 20PRO+,4394000,10/7/2023
Samsung Galaxy S23 FE 5G 8GB 128GB,11626000,10/7/2023
Samsung Galaxy S24 Plus 12GB 256GB,18982000,10/7/2023
Tecno Camon 30 8GB/256GB,4930000,10/7/2023
Tecno Pova 6 (8GB/256GB),5979000,10/7/2023
Tecno Camon 30 12GB/256GB,8191000,10/7/2023
Samsung Galaxy S23 FE 8GB 256GB,11199000,10/7/2023
Samsung Galaxy S23 Ultra 12GB 512GB,24183000,10/7/2023
Samsung Galaxy M55 (12GB 256GB),9612000,10/7/2023
TECNO POVA 5 8GB 128GB,3535000,10/7/2023
OPPO Find X5 Pro 12GB 256GB,15477000,10/7/2023
TECNO SPARK 20 8GB 128GB,2764000,10/7/2023
OPPO Reno10 Pro+ 5G 12GB 256GB,16437000,10/7/2023
Samsung Galaxy S24 Ultra 12GB 256GB,30773000,10/7/2023
Samsung Galaxy S23 8GB 128GB,16604000,10/7/2023
iPhone 16 128GB,31888000,10/7/2023
iPhone 16 Pro Max 256GB,44208000,10/7/2023
Samsung Galaxy S24 Ultra 12GB 256GB,23192000,10/7/2023
iPhone 16 Pro 128GB,21600000,10/7/2023
iPhone 15 Pro Max 256GB,37622000,10/7/2023
Samsung Galaxy Z Fold6,41253000,10/7/2023
iPhone 13 128GB,16961000,10/7/2023
iPhone 15 128GB,23474000,10/7/2023
iPhone 14 Pro Max 128GB,25237000,10/7/2023
Samsung Galaxy A15 LTE 8GB 128GB,3664000,10/7/2023
iPhone 15 Plus 128GB,20122000,10/7/2023
iPhone 15 Pro 128GB,32738000,10/7/2023
Samsung Galaxy S23 Ultra 12GB 512GB,29916000,10/7/2023
Xiaomi POCO X6 Pro 5G 8GB 256GB,6173000,10/7/2023
Samsung Galaxy Z Flip6,23598000,10/7/2023
Xiaomi 14T,13468000,10/7/2023
iPhone 12 Pro Max 128GB,25100000,10/7/2023
Xiaomi Redmi Note 13 (6GB 128GB),4823000,10/7/2023
Samsung Galaxy S23 8GB 128GB,12904000,10/7/2023
iPhone 13 Pro Max 128GB,18341000,10/7/2023
TECNO SPARK 20PRO+,4896000,10/14/2023
TECNO SPARK Go 2024 4GB 64GB,1526000,10/14/2023
Samsung Galaxy S24 Plus 12GB 512GB,28745000,10/14/2023
Samsung Galaxy S23 FE 5G 8GB 128GB,13314000,10/14/2023
Samsung Galaxy S24 Plus 12GB 256GB,19581000,10/14/2023
Tecno Camon 30 8GB/256GB,5131000,10/14/2023
Tecno Pova 6 (8GB/256GB),4542000,10/14/2023
OPPO Reno10 Pro+ 5G 12GB 256GB,10002000,10/14/2023
OPPO Find X5 Pro 12GB 256GB,17108000,10/14/2023
TECNO SPARK 20 8GB 128GB,4121000,10/14/2023
TECNO POVA 5 8GB 128GB,3901000,10/14/2023
Samsung Galaxy M55 (12GB 256GB),11270000,10/14/2023
Samsung Galaxy S23 FE 8GB 256GB,12623000,10/14/2023
Tecno Camon 30 12GB/256GB,8661000,10/14/2023
Samsung Galaxy S23 Ultra 12GB 512GB,21513000,10/14/2023
Samsung Galaxy S24 Ultra 12GB 256GB,28960000,10/14/2023
Samsung Galaxy S23 8GB 128GB,11009000,10/14/2023
iPhone 16 128GB,25845000,10/14/2023
iPhone 16 Pro Max 256GB,50790000,10/14/2023
Samsung Galaxy S24 Ultra 12GB 256GB,23688000,10/14/2023
iPhone 16 Pro 128GB,28403000,10/14/2023
iPhone 15 Pro Max 256GB,27194000,10/14/2023
Samsung Galaxy Z Fold6,44325000,10/14/2023
iPhone 13 128GB,12428000,10/14/2023
iPhone 15 128GB,19565000,10/14/2023
iPhone 14 Pro Max 128GB,18066000,10/14/2023
Samsung Galaxy A15 LTE 8GB 128GB,3656000,10/14/2023
iPhone 15 Plus 128GB,22096000,10/14/2023
iPhone 15 Pro 128GB,23472000,10/14/2023
Samsung Galaxy S23 Ultra 12GB 512GB,31446000,10/14/2023
Xiaomi POCO X6 Pro 5G 8GB 256GB,6948000,10/14/2023
Samsung Galaxy Z Flip6,32847000,10/14/2023
Xiaomi 14T,15101000,10/14/2023
iPhone 12 Pro Max 128GB,23186000,10/14/2023
Xiaomi Redmi Note 13 (6GB 128GB),4080000,10/14/2023
Samsung Galaxy S23 8GB 128GB,16081000,10/14/2023
iPhone 13 Pro Max 128GB,23067000,10/14/2023
TECNO SPARK 20PRO+,5312000,10/14/2023
TECNO SPARK Go 2024 4GB 64GB,2480000,10/14/2023
Samsung Galaxy S24 Plus 12GB 512GB,24680000,10/14/2023
Samsung Galaxy S23 FE 5G 8GB 128GB,12633000,10/14/2023
Samsung Galaxy S24 Plus 12GB 256GB,16644000,10/14/2023
Tecno Camon 30 8GB/256GB,7881000,10/14/2023
Tecno Pova 6 (8GB/256GB),4423000,10/14/2023
OPPO Reno10 Pro+ 5G 12GB 256GB,13703000,10/14/2023
OPPO Find X5 Pro 12GB 256GB,15098000,10/14/2023
TECNO SPARK 20 8GB 128GB,2340000,10/14/2023
TECNO POVA 5 8GB 128GB,2782000,10/14/2023
Samsung Galaxy M55 (12GB 256GB),9835000,10/14/2023
Samsung Galaxy S23 FE 8GB 256GB,13774000,10/14/2023
Tecno Camon 30 12GB/256GB,4438000,10/14/2023
Samsung Galaxy S23 Ultra 12GB 512GB,34067000,10/14/2023
Samsung Galaxy S24 Ultra 12GB 256GB,28186000,10/14/2023
Samsung Galaxy S23 8GB 128GB,14185000,10/14/2023
iPhone 16 128GB,24540000,10/14/2023
iPhone 16 Pro Max 256GB,38154000,10/14/2023
Samsung Galaxy S24 Ultra 12GB 256GB,27077000,10/14/2023
iPhone 16 Pro 128GB,33812000,10/14/2023
iPhone 15 Pro Max 256GB,25889000,10/14/2023
Samsung Galaxy Z Fold6,35141000,10/14/2023
iPhone 13 128GB,15648000,10/14/2023
iPhone 15 128GB,16782000,10/14/2023
iPhone 14 Pro Max 128GB,21880000,10/14/2023
Samsung Galaxy A15 LTE 8GB 128GB,3123000,10/14/2023
iPhone 15 Plus 128GB,20371000,10/14/2023
iPhone 15 Pro 128GB,32182000,10/14/2023
Samsung Galaxy S23 Ultra 12GB 512GB,30697000,10/14/2023
Xiaomi POCO X6 Pro 5G 8GB 256GB,8742000,10/14/2023
Samsung Galaxy Z Flip6,24700000,10/14/2023
Xiaomi 14T,16251000,10/14/2023
iPhone 12 Pro Max 128GB,28608000,10/14/2023
Xiaomi Redmi Note 13 (6GB 128GB),3793000,10/14/2023
Samsung Galaxy S23 8GB 128GB,16911000,10/14/2023
iPhone 13 Pro Max 128GB,23163000,10/14/2023
TECNO SPARK Go 2024 4GB 64GB,1818000,10/14/2023
Samsung Galaxy S24 Plus 12GB 512GB,31004000,10/14/2023
TECNO SPARK 20PRO+,3278000,10/14/2023
Samsung Galaxy S24 Plus 12GB 256GB,23930000,10/14/2023
Samsung Galaxy S23 FE 5G 8GB 128GB,11223000,10/14/2023
Samsung Galaxy S23 FE 8GB 256GB,11971000,10/14/2023
Tecno Camon 30 12GB/256GB,4700000,10/14/2023
Samsung Galaxy S23 Ultra 12GB 512GB,28870000,10/14/2023
TECNO POVA 5 8GB 128GB,3642000,10/14/2023
Samsung Galaxy M55 (12GB 256GB),8876000,10/14/2023
TECNO SPARK 20 8GB 128GB,3810000,10/14/2023
Tecno Camon 30 8GB/256GB,6181000,10/14/2023
OPPO Find X5 Pro 12GB 256GB,13208000,10/14/2023
Tecno Pova 6 (8GB/256GB),7436000,10/14/2023
Samsung Galaxy S24 Ultra 12GB 256GB,31076000,10/14/2023
OPPO Reno10 Pro+ 5G 12GB 256GB,13412000,10/14/2023
Samsung Galaxy S23 8GB 128GB,10121000,10/14/2023
iPhone 16 128GB,21939000,10/14/2023
iPhone 16 Pro Max 256GB,46150000,10/14/2023
Samsung Galaxy S24 Ultra 12GB 256GB,21512000,10/14/2023
iPhone 16 Pro 128GB,26463000,10/14/2023
iPhone 15 Pro Max 256GB,18576000,10/14/2023
Samsung Galaxy Z Fold6,40553000,10/14/2023
iPhone 13 128GB,18585000,10/14/2023
iPhone 15 128GB,22175000,10/14/2023
iPhone 14 Pro Max 128GB,24082000,10/14/2023
Samsung Galaxy A15 LTE 8GB 128GB,5867000,10/14/2023
iPhone 15 Plus 128GB,31468000,10/14/2023
iPhone 15 Pro 128GB,29313000,10/14/2023
Samsung Galaxy S23 Ultra 12GB 512GB,39641000,10/14/2023
Xiaomi POCO X6 Pro 5G 8GB 256GB,10905000,10/14/2023
Samsung Galaxy Z Flip6,25624000,10/14/2023
Xiaomi 14T,11994000,10/14/2023
iPhone 12 Pro Max 128GB,27192000,10/14/2023
Xiaomi Redmi Note 13 (6GB 128GB),3071000,10/14/2023
Samsung Galaxy S23 8GB 128GB,11059000,10/14/2023
iPhone 13 Pro Max 128GB,17404000,10/14/2023
TECNO SPARK Go 2024 4GB 64GB,2021000,10/14/2023
Samsung Galaxy S24 Plus 12GB 512GB,33467000,10/14/2023
TECNO SPARK 20PRO+,5417000,10/14/2023
Samsung Galaxy S24 Plus 12GB 256GB,16396000,10/14/2023
Samsung Galaxy S23 FE 5G 8GB 128GB,13181000,10/14/2023
Samsung Galaxy S23 FE 8GB 256GB,13371000,10/14/2023
Tecno Camon 30 12GB/256GB,4757000,10/14/2023
Samsung Galaxy S23 Ultra 12GB 512GB,26679000,10/14/2023
TECNO POVA 5 8GB 128GB,4663000,10/14/2023
Samsung Galaxy M55 (12GB 256GB),13872000,10/14/2023
TECNO SPARK 20 8GB 128GB,1884000,10/14/2023
Tecno Camon 30 8GB/256GB,5352000,10/14/2023
OPPO Find X5 Pro 12GB 256GB,10757000,10/14/2023
Tecno Pova 6 (8GB/256GB),6911000,10/14/2023
Samsung Galaxy S24 Ultra 12GB 256GB,21061000,10/14/2023
OPPO Reno10 Pro+ 5G 12GB 256GB,13390000,10/14/2023
Samsung Galaxy S23 8GB 128GB,17848000,10/14/2023
iPhone 16 128GB,22544000,10/14/2023
iPhone 16 Pro Max 256GB,50652000,10/14/2023
Samsung Galaxy S24 Ultra 12GB 256GB,20610000,10/14/2023
iPhone 16 Pro 128GB,24136000,10/14/2023
iPhone 15 Pro Max 256GB,25606000,10/14/2023
Samsung Galaxy Z Fold6,53331000,10/14/2023
iPhone 13 128GB,13189000,10/14/2023
iPhone 15 128GB,24972000,10/14/2023
iPhone 14 Pro Max 128GB,16331000,10/14/2023
Samsung Galaxy A15 LTE 8GB 128GB,3270000,10/14/2023
iPhone 15 Plus 128GB,19528000,10/14/2023
iPhone 15 Pro 128GB,22006000,10/14/2023
Samsung Galaxy S23 Ultra 12GB 512GB,35609000,10/14/2023
Xiaomi POCO X6 Pro 5G 8GB 256GB,7683000,10/14/2023
Samsung Galaxy Z Flip6,25087000,10/14/2023
Xiaomi 14T,14250000,10/14/2023
iPhone 12 Pro Max 128GB,24005000,10/14/2023
Xiaomi Redmi Note 13 (6GB 128GB),4562000,10/14/2023
Samsung Galaxy S23 8GB 128GB,19796000,10/14/2023
iPhone 13 Pro Max 128GB,20631000,10/14/2023
TECNO SPARK Go 2024 4GB 64GB,1953000,10/14/2023
Samsung Galaxy S24 Plus 12GB 512GB,31665000,10/14/2023
TECNO SPARK 20PRO+,5416000,10/14/2023
Samsung Galaxy S24 Plus 12GB 256GB,14874000,10/14/2023
Samsung Galaxy S23 FE 5G 8GB 128GB,10804000,10/14/2023
Samsung Galaxy S23 FE 8GB 256GB,11365000,10/14/2023
Tecno Camon 30 12GB/256GB,5026000,10/14/2023
Samsung Galaxy S23 Ultra 12GB 512GB,20104000,10/14/2023
TECNO POVA 5 8GB 128GB,3211000,10/14/2023
Samsung Galaxy M55 (12GB 256GB),10257000,10/14/2023
TECNO SPARK 20 8GB 128GB,3513000,10/14/2023
Tecno Camon 30 8GB/256GB,5938000,10/14/2023
OPPO Find X5 Pro 12GB 256GB,16615000,10/14/2023
Tecno Pova 6 (8GB/256GB),8271000,10/14/2023
Samsung Galaxy S24 Ultra 12GB 256GB,30559000,10/14/2023
OPPO Reno10 Pro+ 5G 12GB 256GB,13043000,10/14/2023
